relative_path,file_name,parent_dir,extension,file_kind,size_bytes,last_modified_iso,depth,csv_row_count,csv_column_count,csv_columns,csv_error,image_width,image_height,image_mode,image_error,sha256_first_1mb
.gitattributes,.gitattributes,,,other,60,2026-07-06T17:52:52.879628+00:00,0,,,,,,,,,439ad27a2f48aacaaf48efa19bc2f8b8fcb5b402d23454dbf8904f2b06c6d3c1
.gitignore,.gitignore,,,other,643,2026-07-06T17:53:38.894066+00:00,0,,,,,,,,,d4ef631ec54b12485b0f98e910cc14d435433c33f264896b7549f3417a009c71
config/experiment_50_config.yaml,experiment_50_config.yaml,config,.yaml,other,7111,2026-07-23T12:34:35.693189+00:00,1,,,,,,,,,7af22deb75434907302e3e460b4c28a73f25533f3274e46b6a14cb7668fce65e
config/pilot_config.yaml,pilot_config.yaml,config,.yaml,other,677,2026-06-29T14:26:59.322671+00:00,1,,,,,,,,,9c81e4ee3aec9dc1b86aa6bc28f5ba442b694810d83eedef513bd207bcb5e4d4
data/model_audit/model_candidates.csv,model_candidates.csv,data/model_audit,.csv,csv,5383,2026-07-03T09:14:19.349960+00:00,2,5,17,model_name | model_family | open_or_closed | deterministic_or_stochastic | training_data_summary | painting_or_art_representation | known_domain_gap | bias_risk | input_format | mask_format | supports_seed_control | supports_multiple_outputs | reproducibility_score | access_cost_notes | selected_for_50_subset | planned_role | notes,,,,,,4ec7ee8d89e5a9d122ea5e9dd37efa6346a6f686263d6636261243a6b047e8b8
data/processed/clean/p001_clean.png,p001_clean.png,data/processed/clean,.png,clean_image,723881,2026-07-24T16:38:17.470158+00:00,3,,,,,768,768,RGB,,b5852f0337c8342a1a70268f9e9f682534177581d238713f67bf28e0033482a2
data/processed/clean/p002_clean.png,p002_clean.png,data/processed/clean,.png,clean_image,339472,2026-07-24T16:38:18.292719+00:00,3,,,,,768,768,RGB,,3f173a947e4c2be2ebdc267f0c852f490981bc81da6c4e55a0b3b85f559a503a
data/processed/clean/p003_clean.png,p003_clean.png,data/processed/clean,.png,clean_image,648764,2026-07-24T16:38:19.476394+00:00,3,,,,,768,768,RGB,,1e2ef6b59b4383d7d44ce2f9bb016c126633d2c3e4f39b14f47ed85f371f377b
data/processed/clean/p004_clean.png,p004_clean.png,data/processed/clean,.png,clean_image,709746,2026-07-24T16:38:20.522805+00:00,3,,,,,768,768,RGB,,ae8cfa01d84bd2e8c2f41cfdfe1cb25b6f2abf3430135165255c071c08e2ee97
data/processed/clean/p005_clean.png,p005_clean.png,data/processed/clean,.png,clean_image,745221,2026-07-24T16:38:21.522086+00:00,3,,,,,768,768,RGB,,da4c53324f40a8a662edb554ee6215db2a53bcb94fcdb7d6bdd3017175a47199
data/processed/clean/p006_clean.png,p006_clean.png,data/processed/clean,.png,clean_image,458402,2026-07-24T16:38:22.648624+00:00,3,,,,,768,768,RGB,,fabead74b973d925a3692b0c10f8c1ddb90e140172f620c0201cdbdcc1759112
data/processed/clean/p007_clean.png,p007_clean.png,data/processed/clean,.png,clean_image,618628,2026-07-24T16:38:23.747034+00:00,3,,,,,768,768,RGB,,2bcf441cb323a10c065c7ae9593adc957bc5087f516bfd19637b39d702c9f843
